Description,Available,Quantity,Price,Total Price
"Asus MemoPad ME176CX Atom™ Z3745 1.33GHz 16GB 1GB 7"" (1280x800) TOUCHSCREEN BT Android 4.4 KitKat 2",277,1,"$47","USD:true:1.0-047.00"
"Lenovo STAR WARS SPECIAL EDITION REBEL ALLIANCE Yoga 910 2-IN-1 Core™ i7-7500U 2.7GHz 256GB SSD 8GB 13.9"" (1920x1080) TOUCHSCREEN BT WIN10 Webcam FP Reader 0.6"" thin, 3.09 lbs.",288,1,"$999","USD:true:1.0-0999.00"
